Symbol,Name,Sector,Industry
BME,Blackrock Health Sciences Trust,,
BMEA,Biomea Fusion Inc.,Health Care,Major Pharmaceuticals
BMEZ,BlackRock Health Sciences Trust II Common Shares of Beneficial Interest,,
BMI,Badger Meter Inc.,Capital Goods,Industrial Machinery/Components
BML^G,Bank of America Corporation Bank of America Corporation Depositary Shares (Each representing a 1/1200th interest in a share of Floating Rate Non-Cumulative Preferred Stock Series 1),,
BML^H,Bank of America Corporation Bank of America Corporation Depositary Shares (Each representing a 1/1200th interest in a Share of Floating Rate Non-Cumulative Preferred Stock Series 2),,
BML^J,Bank of America Corporation Bank of America Corporation Depositary Shares (Each representing a 1/1200th interest in a Share of Floating Rate Non-Cumulative Preferred Stock Series 4),,
BML^L,Bank of America Corporation Bank of America Corporation Depositary Shares (Each representing a 1/1200th Interest in a Share of Floating Rate Non-Cumulative Preferred Stock Series 5),,
BMO,Bank Of Montreal,Finance,Commercial Banks
BMRA,Biomerica Inc.,Health Care,Medical Specialities
BMRC,Bank of Marin Bancorp,Finance,Major Banks
BMRN,BioMarin Pharmaceutical Inc.,Health Care,Major Pharmaceuticals
BMTC,Bryn Mawr Bank Corporation,Finance,Major Banks
BMTX,BM Technologies Inc.,Technology,EDP Services
BMY,Bristol-Myers Squibb Company,Health Care,Major Pharmaceuticals
BNED,Barnes & Noble Education Inc,Consumer Services,Other Specialty Stores
BNFT,Benefitfocus Inc.,Technology,Computer Software: Prepackaged Software
BNGO,Bionano Genomics Inc.,Capital Goods,Biotechnology: Laboratory Analytical Instruments
BNGOW,Bionano Genomics Inc. Warrant,,
BNL,Broadstone Net Lease Inc.,Consumer Services,Real Estate Investment Trusts
BNR,Burning Rock Biotech Limited American Depositary Shares,Health Care,Medical Specialities
BNS,Bank Nova Scotia Halifax Pfd 3 Ordinary Shares,,
BNSO,Bonso Electronics International Inc.,Capital Goods,Industrial Machinery/Components
BNTC,Benitec Biopharma Inc.,Health Care,Major Pharmaceuticals
BNTX,BioNTech SE American Depositary Share,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
BNY,BlackRock New York Municipal Income Trust,,
BOAC,Bluescape Opportunities Acquisition Corp. Class A Ordinary Shares,Finance,Business Services
BOAS,BOA Acquisition Corp. Class A,,
BOB,Merlyn.AI Best-of-Breed Core Momentum ETF,,
BOCH,Bank of Commerce Holdings (CA),Finance,Major Banks
BOE,Blackrock Enhanced Global Dividend Trust Common Shares of Beneficial Interest,,
BOH,Bank of Hawaii Corporation,Finance,Major Banks
BOKF,BOK Financial Corporation,Finance,Major Banks
BOKFL,BOK Financial Corporation 5.375% Subordinated Notes due 2056,,
BOLT,Bolt Biotherapeutics Inc.,Health Care,Major Pharmaceuticals
BOMN,Boston Omaha Corporation Class A,Technology,Advertising
BOOM,DMC Global Inc.,,
BOOT,Boot Barn Holdings Inc.,Consumer Services,Clothing/Shoe/Accessory Stores
BORR,Borr Drilling Limited Common Shares,Energy,Oil & Gas Production
BOSC,B.O.S. Better Online Solutions,Technology,Computer Communications Equipment
BOTJ,Bank of the James Financial Group Inc.,Finance,Major Banks
BOWX,BowX Acquisition Corp. Class A,,
BOWXU,BowX Acquisition Corp. Unit,,
BOWXW,BowX Acquisition Corp. Warrant,Finance,Business Services
BOX,Box Inc. Class A,Technology,Computer Software: Prepackaged Software
BOXL,Boxlight Corporation Class A,Capital Goods,Telecommunications Equipment
BP,BP p.l.c.,Energy,Integrated oil Companies
BPFH,Boston Private Financial Holdings Inc.,Finance,Major Banks
BPMC,Blueprint Medicines Corporation,Health Care,Major Pharmaceuticals
BPMP,BP Midstream Partners LP Common Units representing Limited Partner Interests,Energy,Oil & Gas Production
BPOP,Popular Inc.,Finance,Major Banks
BPOPM,Popular Inc. Popular Capital Trust II - 6.125% Cumulative Monthly Income Trust Preferred Securities,Finance,Major Banks
BPOPN,Popular Inc. 6.70% Cumulative Monthly Income Trust Preferred Securities,Finance,Major Banks
BPRN,The Bank of Princeton,,
BPT,BP Prudhoe Bay Royalty Trust,Energy,Integrated oil Companies
BPTH,Bio-Path Holdings Inc.,Health Care,Major Pharmaceuticals
BPTS,Biophytis SA American Depositary Share,Health Care,Major Pharmaceuticals
BPY,Brookfield Property Partners L.P. Limited Partnership Units,Finance,Finance/Investors Services
BPYPN,Brookfield Property Partners L.P. 5.750% Class A Cumulative Redeemable Perpetual Preferred Units Series 3,Finance,Finance/Investors Services
BPYPO,Brookfield Property Partners L.P. 6.375% Class A Cumulative Redeemable Perpetual Preferred Units Series 2,Finance,Finance/Investors Services
BPYPP,Brookfield Property Partners L.P. 6.50% Class A Cumulative Redeemable Perpetual Preferred Units,Finance,Finance/Investors Services
BPYU,Brookfield Property REIT Inc. Class A,Consumer Services,Real Estate Investment Trusts
BPYUP,Brookfield Property REIT Inc. 6.375% Series A Preferred Stock,Consumer Services,Real Estate Investment Trusts
BQ,Boqii Holding Limited American Depositary Shares representing Class A Ordinary Shares,Consumer Services,Other Specialty Stores
BR,Broadridge Financial Solutions Inc.Common Stock,Miscellaneous,Business Services
BRBR,BellRing Brands Inc. Class A,Consumer Non-Durables,Beverages (Production/Distribution)
BRBS,Blue Ridge Bankshares Inc.,Finance,Commercial Banks
BRC,Brady Corporation,Miscellaneous,Diversified Manufacture
BRCN,Burcon NutraScience Corp.,Basic Industries,Precious Metals
BREZ,Breeze Holdings Acquisition Corp.,,
BREZR,Breeze Holdings Acquisition Corp. Right,Finance,Business Services
BREZW,Breeze Holdings Acquisition Corp. Warrant,Finance,Business Services
BRFS,BRF S.A.,Consumer Non-Durables,Meat/Poultry/Fish
BRG,Bluerock Residential Growth REIT Inc. Class A,Consumer Services,Real Estate Investment Trusts
BRG^C,Bluerock Residential Growth REIT Inc. 7.625% Series C Cumulative Redeemable Preferred Stock,,
BRG^D,Bluerock Residential Growth REIT Inc. 7.125% Series D Cumulative Preferred Stock ($0.01 par value per share),,
BRID,Bridgford Foods Corporation,Consumer Non-Durables,Specialty Foods
BRIVU,B. Riley Principal 250 Merger Corp. Units,,
BRK/A,Berkshire Hathaway Inc.,,
BRK/B,Berkshire Hathaway Inc.,,
BRKL,Brookline Bancorp Inc.,Finance,Savings Institutions
BRKR,Bruker Corporation,Capital Goods,Biotechnology: Laboratory Analytical Instruments
BRKS,Brooks Automation Inc.,Technology,Industrial Machinery/Components
BRLI,Brilliant Acquisition Corporation Ordinary Shares,Finance,Business Services
BRLIR,Brilliant Acquisition Corporation Rights,Finance,Business Services
BRLIW,Brilliant Acquisition Corporation Warrants,Finance,Business Services
BRMK,Broadmark Realty Capital Inc.,Consumer Services,Real Estate Investment Trusts
BRN,Barnwell Industries Inc.,Energy,Oil & Gas Production
BRO,Brown & Brown Inc.,Finance,Specialty Insurers
BROG,Brooge Energy Limited Ordinary Shares,Energy,Integrated oil Companies
BROGW,Brooge Holdings Limited Warrant expiring 12/20/2024,Energy,Integrated oil Companies
BRP,BRP Group Inc. (Insurance Company) Class A,Finance,Specialty Insurers
BRPM,B. Riley Principal 150 Merger Corp. Class A,,
BRPMU,B. Riley Principal 150 Merger Corp. Unit,,
BRPMW,B. Riley Principal 150 Merger Corp. Warrant,Finance,Business Services
BRQS,Borqs Technologies Inc. Ordinary Shares,,
BRT,BRT Apartments Corp. (MD),Consumer Services,Real Estate Investment Trusts
BRX,Brixmor Property Group Inc.,Consumer Services,Real Estate Investment Trusts
BRY,Berry Corporation (bry),Energy,Oil & Gas Production
BSA,BrightSphere Investment Group Inc. 5.125% Notes due 2031,,
BSAC,Banco Santander - Chile ADS,Finance,Commercial Banks
BSBK,Bogota Financial Corp.,,
BSBR,Banco Santander Brasil SA American Depositary Shares each representing one unit,Finance,Commercial Banks
BSET,Bassett Furniture Industries Incorporated,Consumer Durables,Home Furnishings
BSGM,BioSig Technologies Inc.,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
BSIG,BrightSphere Investment Group Inc.,Finance,Finance/Investors Services
BSKYU,Big Sky Growth Partners Inc. Unit,,
BSL,Blackstone Senior Floating Rate Term Fund Common Shares of Beneficial Interest,,
BSM,Black Stone Minerals L.P. Common units representing limited partner interests,Energy,Oil & Gas Production
BSMX,Banco Santander Mexico S.A. Institucion de Banca Multiple Grupo Financiero Santander Mexico,Finance,Commercial Banks
BSN,Broadstone Acquisition Corp. Class A Ordinary Shares,Finance,Business Services
BSPE,Bespoke Capital Acquisition Corp. Class A Restricted Voting Shares,Miscellaneous,Other Consumer Services
BSQR,BSQUARE Corporation,Technology,Computer Software: Prepackaged Software
BSRR,Sierra Bancorp,Finance,Major Banks
BST,BlackRock Science and Technology Trust Common Shares of Beneficial Interest,,
BSTZ,BlackRock Science and Technology Trust II Common Shares of Beneficial Interest,Finance,Trusts Except Educational Religious and Charitable
BSVN,Bank7 Corp. Common stock,Finance,Major Banks
BSX,Boston Scientific Corporation,Health Care,Medical/Dental Instruments
BSX^A,Boston Scientific Corporation 5.50% Mandatory Convertible Preferred Stock Series A,,
BSY,Bentley Systems Incorporated Class B,Technology,Computer Software: Prepackaged Software
BTA,BlackRock Long-Term Municipal Advantage Trust BlackRock Long-Term Municipal Advantage Trust Common Shares of Beneficial Interest,,
BTAI,BioXcel Therapeutics Inc.,Health Care,Major Pharmaceuticals
BTAQ,Burgundy Technology Acquisition Corporation Class A Ordinary shares,Finance,Business Services
BTAQU,Burgundy Technology Acquisition Corporation Unit,Finance,Business Services
BTAQW,Burgundy Technology Acquisition Corporation Warrant,Finance,Business Services
BTBT,Bit Digital Inc. Ordinary Shares,Finance,Finance: Consumer Services
BTCM,BIT Mining Limited ADS,Consumer Services,Movies/Entertainment
BTG,B2Gold Corp Common shares (Canada),Basic Industries,Precious Metals
BTI,British American Tobacco Industries p.l.c. ADR,Consumer Non-Durables,Farming/Seeds/Milling
BTN,Ballantyne Strong Inc.,Miscellaneous,Industrial Machinery/Components
BTNB,Bridgetown 2 Holdings Limited Class A Ordinary Shares,Finance,Business Services
BTO,John Hancock Financial Opportunities Fund,,
BTRS,BTRS Holdings Inc. Class 1,Technology,EDP Services
BTRSW,BTRS Holdings Inc. Warrants,,
BTT,BlackRock Municipal 2030 Target Term Trust,Finance,Investment Managers
BTU,Peabody Energy Corporation ,Energy,Coal Mining
BTWN,Bridgetown Holdings Limited Class A Ordinary Shares,Finance,Business Services
BTWNU,Bridgetown Holdings Limited Units,Finance,Business Services
BTWNW,Bridgetown Holdings Limited Warrants,Finance,Business Services
BTX,Brooklyn ImmunoTherapeutics Inc.,,
BTZ,BlackRock Credit Allocation Income Trust,,
BUD,Anheuser-Busch Inbev SA Sponsored ADR (Belgium),Consumer Non-Durables,Beverages (Production/Distribution)
BUFD,FT Cboe Vest Fund of Deep Buffer ETF,,
BUFF,Innovator Laddered Fund of S&P 500 Power Buffer ETFs,,
BUI,BlackRock Utility Infrastructure & Power Opportunities Trust,,
BUR,Burford Capital Limited Ordinary Shares,Consumer Non-Durables,Farming/Seeds/Milling
BURL,Burlington Stores Inc.,Consumer Non-Durables,Apparel
BUSE,First Busey Corporation Class A,Finance,Major Banks
BV,BrightView Holdings Inc.,Miscellaneous,Business Services
BVH,Bluegreen Vacations Holding Corporation Class A,Consumer Services,Hotels/Resorts
BVN,Buenaventura Mining Company Inc.,Basic Industries,Precious Metals
BVS,Bioventus Inc. Class A,Health Care,Medical/Dental Instruments
BVXV,BiondVax Pharmaceuticals Ltd. American Depositary Shares,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
BW,Babcock & Wilcox Enterprises Inc.,Capital Goods,Industrial Machinery/Components
BW^A,Babcock & Wilcox Enterprises Inc. 7.75% Series A Cumulative Perpetual Preferred Stock,,
BWA,BorgWarner Inc.,Capital Goods,Auto Parts:O.E.M.
BWAC,Better World Acquisition Corp.,,
BWACU,Better World Acquisition Corp. Unit,,
BWACW,Better World Acquisition Corp. Warrants,Finance,Business Services
BWAY,BrainsWay Ltd. American Depositary Shares,Health Care,Medical/Dental Instruments
BWB,Bridgewater Bancshares Inc.,Finance,Major Banks
BWEN,Broadwind Inc.,Capital Goods,Industrial Machinery/Components
BWFG,Bankwell Financial Group Inc.,Finance,Major Banks
BWG,BrandywineGLOBAL Global Income Opportunities Fund Inc.,,
BWL/A,Bowl America Inc.,,
BWMN,Bowman Consulting Group Ltd.,Consumer Services,Professional Services
BWMX,Betterware de Mexico S.A.B. de C.V. Ordinary Shares,Consumer Services,Catalog/Specialty Distribution
BWSN,Babcock & Wilcox Enterprises Inc. 8.125% Senior Notes due 2026,Capital Goods,Building Products
BWXT,BWX Technologies Inc.,,
BX,The Blackstone Group Inc.,Finance,Investment Managers
BXC,Bluelinx Holdings Inc.,Capital Goods,Wholesale Distributors
BXMT,Blackstone Mortgage Trust Inc.,Consumer Services,Real Estate Investment Trusts
BXMX,Nuveen S&P 500 Buy-Write Income Fund Common Shares of Beneficial Interest,,
BXP,Boston Properties Inc.,Consumer Services,Real Estate Investment Trusts
BXRX,Baudax Bio Inc.,Health Care,Misc Health and Biotechnology Services
BXS,BancorpSouth Bank,Finance,Major Banks
BXS^A,BancorpSouth Bank 5.50% Series A Non-Cumulative Perpetual Preferred Stock,,
BY,Byline Bancorp Inc.,Finance,Major Banks
BYD,Boyd Gaming Corporation,Consumer Services,Movies/Entertainment
BYFC,Broadway Financial Corporation,Finance,Savings Institutions
BYM,Blackrock Municipal Income Quality Trust Common Shares of Beneficial Interest,,
BYND,Beyond Meat Inc.,Consumer Non-Durables,Specialty Foods
BYRN,Byrna Technologies Inc.,Consumer Non-Durables,Military/Government/Technical
BYSI,BeyondSpring Inc. Ordinary Shares,Health Care,Major Pharmaceuticals
BYTS,BYTE Acquisition Corp. Class A Ordinary Shares,Finance,Business Services
BYTSU,BYTE Acquisition Corp. Units,Finance,Business Services
BYTSW,BYTE Acquisition Corp. Warrants,Finance,Business Services
BZH,Beazer Homes USA Inc.,Capital Goods,Homebuilding
BZUN,Baozun Inc. American Depositary Shares,Consumer Services,Catalog/Specialty Distribution
C,Citigroup Inc.,Finance,Major Banks
C^J,Citigroup Inc. Dep Shs Repstg 1/1000 Pfd Ser J Fixed/Fltg,,
C^K,Citigroup Inc. Dep Shs Repstg 1/1000th Pfd Ser K,,
C^N,Citigroup Capital XIII 7.875% Fixed rate Floating Rate trust Preferred Securities (TruPS),,
CAAP,Corporacion America Airports SA Common Shares,Transportation,Aerospace
CAAS,China Automotive Systems Inc.,Capital Goods,Auto Parts:O.E.M.
CABA,Cabaletta Bio Inc.,Health Care,Major Pharmaceuticals
CABO,Cable One Inc.,Consumer Services,Telecommunications Equipment
CAC,Camden National Corporation,Finance,Major Banks
CACC,Credit Acceptance Corporation,Finance,Finance: Consumer Services
CACI,CACI International Inc. Class A,Technology,EDP Services
CADE,Cadence Bancorporation Class A,Finance,Commercial Banks
CAE,CAE Inc. Ordinary Shares,,
CAF,Morgan Stanley China A Share Fund Inc.,,
CAG,ConAgra Brands Inc.,Consumer Non-Durables,Packaged Foods
CAH,Cardinal Health Inc.,Health Care,Other Pharmaceuticals
CAHC,CA Healthcare Acquisition Corp. Class A,,
CAHCU,CA Healthcare Acquisition Corp. Unit,,
CAHCW,CA Healthcare Acquisition Corp. Warrant,Finance,Business Services
CAI,CAI International Inc.,Technology,Diversified Commercial Services
CAI^A,CAI International Inc. 8.50% Series A Fixed-to-Floating Rate Cumulative Redeemable Perpetual Preferred Stock,,
CAI^B,CAI International Inc. 8.50% Series B Fixed-to-Floating Rate Cumulative Redeemable Perpetual Preferred Stock,,
CAJ,Canon Inc. American Depositary Shares,Miscellaneous,Industrial Machinery/Components
CAKE,Cheesecake Factory Incorporated (The),Consumer Services,Restaurants
CAL,Caleres Inc.,Consumer Non-Durables,Shoe Manufacturing
CALA,Calithera Biosciences Inc.,Health Care,Major Pharmaceuticals
CALB,California BanCorp,Finance,Major Banks
CALM,Cal-Maine Foods Inc.,Consumer Non-Durables,Specialty Foods
CALT,Calliditas Therapeutics AB American Depositary Shares,Health Care,Major Pharmaceuticals
CALX,Calix Inc,Technology,Computer Software: Prepackaged Software
CAMP,CalAmp Corp.,Technology,Radio And Television Broadcasting And Communications Equipment
CAMT,Camtek Ltd. Ordinary Shares,Capital Goods,Electronic Components
CAN,Canaan Inc. American Depositary Shares,Technology,Semiconductors
CANF,Can-Fite Biopharma Ltd Sponsored ADR (Israel),Health Care,Major Pharmaceuticals
CANG,Cango Inc. American Depositary Shares each representing two (2) Class A Ordinary Shares,Technology,Computer Software: Prepackaged Software
CANO,Cano Health Inc.,,
CAP,Capitol Investment Corp. V Class A,,
CAPA,HighCape Capital Acquisition Corp. Class A,,
CAPAU,HighCape Capital Acquisition Corp. Unit,,
CAPAW,HighCape Capital Acquisition Corp. Warrant,Finance,Business Services
CAPL,CrossAmerica Partners LP Common Units representing limited partner interests,,
CAPR,Capricor Therapeutics Inc.,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
CAR,Avis Budget Group Inc.,Miscellaneous,Rental/Leasing Companies
CARA,Cara Therapeutics Inc.,Health Care,Major Pharmaceuticals
CARE,Carter Bankshares Inc.,Finance,Major Banks
CARG,CarGurus Inc. Class A ,,
CARR,Carrier Global Corporation ,Capital Goods,Wholesale Distributors
CARS,Cars.com Inc. ,,
CARV,Carver Bancorp Inc.,Finance,Savings Institutions
CAS,Cascade Acquisition Corp. Class A,,
CASA,Casa Systems Inc.,Technology,Radio And Television Broadcasting And Communications Equipment
CASH,Meta Financial Group Inc.,Finance,Banks
CASI,CASI Pharmaceuticals Inc.,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
CASS,Cass Information Systems Inc,Miscellaneous,Business Services
CASY,Casey's General Stores Inc.,Consumer Services,Food Chains
CAT,Caterpillar Inc.,Capital Goods,Construction/Ag Equipment/Trucks
CATB,Catabasis Pharmaceuticals Inc.,Health Care,Major Pharmaceuticals
CATC,Cambridge Bancorp,Finance,Major Banks
CATM,Cardtronics plc Class A Ordinary Shares (UK),Miscellaneous,Business Services
CATO,Cato Corporation (The) Class A,,
CATY,Cathay General Bancorp,Finance,Major Banks
CB,Chubb Limited ,Finance,Property-Casualty Insurers
CBAH,CBRE Acquisition Holdings Inc. Class A,,
CBAN,Colony Bankcorp Inc.,Finance,Major Banks
CBAT,CBAK Energy Technology Inc.,Capital Goods,Electrical Products
CBAY,CymaBay Therapeutics Inc.,Health Care,Major Pharmaceuticals
CBB,Cincinnati Bell Inc.,Public Utilities,Telecommunications Equipment
CBB^B,Cincinnati Bell Inc. Preferred Stock,,
CBD,Companhia Brasileira de Distribuicao American Depsitary Shares; each representing one Common Share,Consumer Services,Food Chains
CBFV,CB Financial Services Inc.,Finance,Major Banks
CBH,Virtus AllianzGI Convertible & Income 2024 Target Term Fund Common Shares of Beneficial Interest,,
CBIO,Catalyst Biosciences Inc.,Health Care,Major Pharmaceuticals
CBLI,Cleveland BioLabs Inc.,Health Care,Biotechnology: Commercial Physical & Biological Resarch
CBMB,CBM Bancorp Inc.,Finance,Commercial Banks
CBNK,Capital Bancorp Inc.,Finance,Major Banks
CBOE,Cboe Global Markets Inc.,,
CBRE,CBRE Group Inc Class A,Finance,Real Estate
CBRL,Cracker Barrel Old Country Store Inc,Consumer Services,Restaurants
CBSH,Commerce Bancshares Inc.,Finance,Major Banks
CBT,Cabot Corporation,Basic Industries,Specialty Chemicals
CBTG,Cabot Growth ETF,,
CBTX,CBTX Inc.,Finance,Major Banks
CBU,Community Bank System Inc.,Finance,Major Banks
CBZ,CBIZ Inc.,Miscellaneous,Business Services
CC,Chemours Company (The),Basic Industries,Industrial Specialties
CCAC,CITIC Capital Acquisition Corp. Class A Ordinary Shares,Finance,Business Services
CCAP,Crescent Capital BDC Inc. Common stock,,
CCB,Coastal Financial Corporation,Finance,Commercial Banks
CCBG,Capital City Bank Group,Finance,Major Banks
CCCC,C4 Therapeutics Inc.,Health Care,Major Pharmaceuticals
CCD,Calamos Dynamic Convertible & Income Fund,,
CCEP,Coca-Cola Europacific Partners plc Ordinary Shares,Consumer Non-Durables,Beverages (Production/Distribution)
CCF,Chase Corporation,Basic Industries,Paints/Coatings
CCI,Crown Castle International Corp. (REIT),,
CCIV,Churchill Capital Corp IV Class A,,
CCJ,Cameco Corporation,Basic Industries,Precious Metals
CCK,Crown Holdings Inc.,Consumer Durables,Containers/Packaging
CCL,Carnival Corporation,,
CCLP,CSI Compressco LP Common Units,Energy,Oilfield Services/Equipment
CCM,Concord Medical Services Holdings Limited ADS (Each represents three ordinary shares),Health Care,Medical/Nursing Services
CCMP,CMC Materials Inc.,Technology,Semiconductors
CCNC,Code Chain New Continent Limited,,
CCNE,CNB Financial Corporation,Finance,Major Banks
CCNEP,CNB Financial Corporation Depositary Shares each representing a 1/40th ownership interest in a share of 7.125% Series A Fixed-Rate Non-Cumulative Perpetual Preferred Stock,Finance,Major Banks
CCO,Clear Channel Outdoor Holdings Inc.,Technology,Advertising
CCOI,Cogent Communications Holdings Inc.,Consumer Services,Telecommunications Equipment
CCRC,China Customer Relations Centers Inc. Ordinary Shares,Miscellaneous,Business Services
CCRN,Cross Country Healthcare Inc. $0.0001 Par Value,Technology,Professional Services
CCS,Century Communities Inc.,Capital Goods,Homebuilding
CCU,Compania Cervecerias Unidas S.A.,Consumer Non-Durables,Beverages (Production/Distribution)
CCV,Churchill Capital Corp V Class A,,
CCVI,Churchill Capital Corp VI Class A,,
CCX,Churchill Capital Corp II Class A,,
CCXI,ChemoCentryx Inc.,Health Care,Major Pharmaceuticals
CCZ,Comcast Holdings ZONES,Consumer Services,Television Services
CD,Chindata Group Holdings Limited American Depositary Shares,Finance,Investment Bankers/Brokers/Service
CDAK,Codiak BioSciences Inc.,Consumer Durables,Specialty Chemicals
CDAY,Ceridian HCM Holding Inc.,Technology,EDP Services
CDE,Coeur Mining Inc.,Basic Industries,Precious Metals
CDEV,Centennial Resource Development Inc. Class A,Energy,Oil & Gas Production
CDK,CDK Global Inc.,Technology,Retail: Computer Software & Peripheral Equipment
CDLX,Cardlytics Inc.,Technology,EDP Services
CDMO,Avid Bioservices Inc.,Health Care,Major Pharmaceuticals
CDNA,CareDx Inc.,Health Care,Medical Specialities
CDNS,Cadence Design Systems Inc.,Technology,Computer Software: Prepackaged Software
CDOR,Condor Hospitality Trust Inc.,Consumer Services,Real Estate Investment Trusts
CDR,Cedar Realty Trust Inc.,Consumer Services,Real Estate Investment Trusts
CDR^B,Cedar Realty Trust Inc. 7.25% Series B Cumulative Redeemable Preferred Stock,,
CDR^C,Cedar Realty Trust Inc. 6.50% Series C Cumulative Redeemable Preferred Stock,,
CDTX,Cidara Therapeutics Inc.,Health Care,Major Pharmaceuticals
CDW,CDW Corporation,Technology,EDP Services
CDXC,ChromaDex Corporation,Consumer Durables,Specialty Chemicals
CDXS,Codexis Inc.,Health Care,Biotechnology: Commercial Physical & Biological Resarch
CDZI,CADIZ Inc.,Public Utilities,Water Supply
CE,Celanese Corporation Celanese Corporation,Basic Industries,Major Chemicals
CEA,China Eastern Airlines Corporation Ltd.,Transportation,Air Freight/Delivery Services
CECE,CECO Environmental Corp.,Capital Goods,Pollution Control Equipment
CEE,The Central and Eastern Europe Fund Inc. (The),,
CEI,Camber Energy Inc.,Energy,Oil & Gas Production
CEIX,CONSOL Energy Inc. ,,
CELC,Celcuity Inc.,Health Care,Medical Specialities
CELH,Celsius Holdings Inc.,Consumer Non-Durables,Beverages (Production/Distribution)
CELP,Cypress Environmental Partners L.P. Common Units representing limited partner interests,Energy,Oilfield Services/Equipment
CEM,ClearBridge MLP and Midstream Fund Inc.,,
CEMI,Chembio Diagnostics Inc.,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
CEN,Center Coast Brookfield MLP & Energy Infrastructure Fund,Finance,Finance Companies
CENH,Centricus Acquisition Corp. Class A Ordinary Share,Finance,Business Services
CENHU,Centricus Acquisition Corp. Unit,Finance,Business Services
CENHW,Centricus Acquisition Corp. Warrant,Finance,Business Services
CENT,Central Garden & Pet Company,,
CENTA,Central Garden & Pet Company Class A Nonvoting,,
CENX,Century Aluminum Company,Basic Industries,Aluminum
CEPU,Central Puerto S.A. American Depositary Shares (each represents ten Common Shares),Public Utilities,Electric Utilities: Central
CEQP,Crestwood Equity Partners LP,Energy,Oilfield Services/Equipment
CEQP^,Crestwood Equity Partners LP Preferred Units representing limited partner interests,,
CERC,Cerecor Inc.,Health Care,Major Pharmaceuticals
CERE,Cerevel Therapeutics Holdings Inc.,Consumer Durables,Specialty Chemicals
CEREW,Cerevel Therapeutics Holdings Inc. Warrant,Health Care,Major Pharmaceuticals
CERN,Cerner Corporation,Health Care,Managed Health Care
CERS,Cerus Corporation,Health Care,Major Pharmaceuticals
CERT,Certara Inc.,Consumer Durables,Specialty Chemicals
CET,Central Securities Corporation,,
CETX,Cemtrex Inc.,Technology,EDP Services
CETXP,Cemtrex Inc. Series 1 Preferred Stock,Technology,EDP Services
CETXW,Cemtrex Inc. Series 1 Warrant,,
CEV,Eaton Vance California Municipal Income Trust Shares of Beneficial Interest,,
CEVA,CEVA Inc.,Technology,Semiconductors
CF,CF Industries Holdings Inc.,Basic Industries,Agricultural Chemicals
CFAC,CF Finance Acquisition Corp. III,,
CFACU,CF Finance Acquisition Corp. III Unit,,
CFACW,CF Finance Acquisition Corp. III Warrant,Finance,Business Services
CFB,CrossFirst Bankshares Inc.,Finance,Commercial Banks
CFBK,CF Bankshares Inc.,,
CFCV,ClearBridge Focus Value ETF,,
CFFE,CF Acquisition Corp. VIII Class A,,
CFFEU,CF Acquisition Corp. VIII Unit,,
CFFI,C&F Financial Corporation,Finance,Major Banks
CFFN,Capitol Federal Financial Inc.,Finance,Savings Institutions
CFFVU,CF Acquisition Corp. V Unit,,
CFFVW,CF Acquisition Corp. V Warrant,Finance,Business Services
CFG,Citizens Financial Group Inc.,Finance,Major Banks
CFG^D,Citizens Financial Group Inc. Depositary Shares each representing a 1/40th Interest in a Share of 6.350% Fixed-to-Floating Rate Non-Cumulative Perpetual Preferred Stock Series D,,
CFG^E,Citizens Financial Group Inc. Depositary Shares Each Representing 1/40th Interest in a Share of 5.000% Fixed-Rate Non-Cumulative Perpetual Preferred Stock Series E,,
CFIV,CF Acquisition Corp. IV Class A common stock,,
CFIVU,CF Acquisition Corp. IV Unit,,
CFIVW,CF Acquisition Corp. IV Warrant,Finance,Business Services
CFMS,Conformis Inc.,Health Care,Medical/Dental Instruments
CFR,Cullen/Frost Bankers Inc.,Finance,Major Banks
CFR^B,Cullen/Frost Bankers Inc. Depositary Shares each representing a 1/40th ownership interest in a share of 4.450% non-cumulative perpetual preferred stock Series B,,
CFRX,ContraFect Corporation,Health Care,Major Pharmaceuticals
CFV,CF Acquisition Corp. V Class A,,
CFVI,CF Acquisition Corp. VI Class A,,
CFVIU,CF Acquisition Corp. VI Unit,,
CFVIW,CF Acquisition Corp. VI Warrant,Finance,Business Services
CFX,Colfax Corporation,Capital Goods,Fluid Controls
CFXA,Colfax Corporation 5.75% Tangible Equity Units,Capital Goods,Fluid Controls
CG,The Carlyle Group Inc.,Finance,Investment Managers
CGA,China Green Agriculture Inc.,Basic Industries,Agricultural Chemicals
CGABL,The Carlyle Group Inc. 4.625% Subordinated Notes due 2061,,
CGAU,Centerra Gold Inc. Common Shares,Basic Industries,Precious Metals
CGBD,TCG BDC Inc.,Finance,Finance Companies
CGC,Canopy Growth Corporation Common Shares,,
CGEM,Cullinan Oncology Inc.,Health Care,Major Pharmaceuticals
CGEN,Compugen Ltd. Ordinary Shares,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
CGNT,Cognyte Software Ltd. Ordinary Shares,Technology,Computer Software: Prepackaged Software
CGNX,Cognex Corporation,Capital Goods,Industrial Machinery/Components
CGO,Calamos Global Total Return Fund,Finance,Investment Managers
